year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2025,7106,mafate trail tour - ultra mafate trail tour,63400.0,4090,MALE,100K,149,14:24:51,2023,FR
2025,7106,le grand raid de la réunion - zembrocal trail relais1,37200.0,2720,MALE,50K,123,08:20:08,2023,FR
2025,7106,cimasarun - cumasarun,51700.0,3725,MALE,50K,561,12:23:06,2023,FR
2025,7106,le grand raid de la réunion - la diagonale des fous,168400.0,10250,MALE,100M,1671,58:51:34,2022,FR
2025,7108,trail godefroy | bouillon - trail godefroy | bouillon 34km,34540.0,1284,MALE,20K,139,04:32:16,2025,BE
2025,7108,les courses du mont-terrible - 23 k (la terrible),23500.0,850,MALE,20K,96,02:30:14,2025,CH
2025,7111,balcons de cauterets - 20km,20000.0,1200,MALE,20K,290,03:18:57,2025,FR
2025,7113,le grand raid de la réunion - trail de bourbon,109000.0,6328,MALE,100M,111,24:35:45,2023,FR
2025,7113,le grand raid de la réunion - la mascareignes,72000.0,3874,MALE,100K,133,13:42:08,2021,FR
2025,7113,trail des anglais - trail des anglais,28000.0,1260,MALE,20K,172,03:30:30,2020,FR
2025,7118,le grand raid de la réunion - la mascareignes,70000.0,3829,FEMALE,100K,1020,19:58:30,2024,FR
2025,7118,le grand raid de la réunion - la diagonale des fous,167300.0,9710,FEMALE,100M,1969,62:54:05,2023,FR
2025,7118,le grand raid de la réunion - trail de bourbon,105100.0,6131,FEMALE,100K,694,38:33:29,2021,FR
2025,7119,le grand raid de la réunion - trail de bourbon,109000.0,6328,MALE,100M,960,40:03:22,2023,FR
2025,7119,le grand raid de la réunion - zembrocal trail relais1,37200.0,2720,MALE,50K,141,08:24:10,2022,FR
2025,7119,le grand raid de la réunion - trail de bourbon,105100.0,6131,MALE,100K,457,34:11:24,2021,FR
2025,7122,le grand raid de la réunion - zembrocal trail relais1,37900.0,2769,MALE,50K,6,05:21:07,2024,FR
2025,7122,le grand raid de la réunion - la mascareignes,72000.0,4007,MALE,100K,211,14:11:22,2023,FR
